artwork_reference_number,title,artwork_description,artwork_sort_order,artwork_year,drupal_url,body_text,link,drupal_nid,drupal_post_date,published,artwork_url_original,artwork_url_thumbnail
217,5th avenue,77 x 105 in | 196 x 267 cm,6,2018,/artwork/5th-avenue,,/artwork/5th-avenue,250,6/23/18 19:35,Yes,http://www.enaswansea.com/sites/default/files/artwork/217/217prophotousethis5thave-2018swa00023.jpg,http://www.enaswansea.com/sites/default/files/imagecache/tiny_thumbnail/artwork/217/217prophotousethis5thave-2018swa00023.jpg
36,haunted tiny house,114 x 90 in (289.5 x 228.6 cm),7,2004,/artwork/haunted-tiny-house,"oil on graphite on linen, 114 x 90 in (289.5 x 228.6 cm)",/artwork/haunted-tiny-house,109,9/24/10 20:41,Yes,http://www.enaswansea.com/sites/default/files/artwork/36/37hauntedtinyhouse150.jpg,http://www.enaswansea.com/sites/default/files/imagecache/tiny_thumbnail/artwork/36/37hauntedtinyhouse150.jpg
59,wave,105 x 150 in (266.7 x 381 cm),7,2005,/artwork/wave,"oil on graphite on linen, 105 x 150 in (266.7 x 381 cm)",/artwork/wave,86,9/24/10 20:41,Yes,http://www.enaswansea.com/sites/default/files/artwork/59/60wave150.jpg,http://www.enaswansea.com/sites/default/files/imagecache/tiny_thumbnail/artwork/59/60wave150.jpg
78,Kembra,72 x 96 in (182.88 x 243.84 cm),7,2006,/artwork/kembra,"oil on graphite on linen, 72 x 96 in (182.88 x 243.84 cm)",/artwork/kembra,67,9/24/10 20:41,Yes,http://www.enaswansea.com/sites/default/files/artwork/78/80kembra150.jpg,http://www.enaswansea.com/sites/default/files/imagecache/tiny_thumbnail/artwork/78/80kembra150.jpg
98,widow,66 x 84 in (167.64 x 213.36 cm),7,2007,/artwork/widow,"mixed media on graphite on linen, 66 x 84 in (167.64 x 213.36 cm)",/artwork/widow,47,9/24/10 20:41,Yes,http://www.enaswansea.com/sites/default/files/artwork/98/101widow150.jpg,http://www.enaswansea.com/sites/default/files/imagecache/tiny_thumbnail/artwork/98/101widow150.jpg
107,21st century haystack 2,72 x 54 in (182.9 x 137.2 cm),7,2008,/artwork/21st-century-haystack-2,"oil on graphite on linen, 72 x 54 in (182.9 x 137.2 cm)",/artwork/21st-century-haystack-2,38,9/24/10 20:41,Yes,http://www.enaswansea.com/sites/default/files/artwork/107/11021stcenturyhaystack2150.jpg,http://www.enaswansea.com/sites/default/files/imagecache/tiny_thumbnail/artwork/107/11021stcenturyhaystack2150.jpg
117,windy day,48 x 60 in (121.92 x 152.4 cm),7,2009,/artwork/windy-day,"oil on canvas, 48 x 60 in (121.92 x 152.4 cm)",/artwork/windy-day,28,9/24/10 20:41,Yes,http://www.enaswansea.com/sites/default/files/artwork/117/120windyday150.jpg,http://www.enaswansea.com/sites/default/files/imagecache/tiny_thumbnail/artwork/117/120windyday150.jpg
129,go go boy,18 x 24 in (45.7 x 61 cm),7,2010,/artwork/go-go-boy,"oil on graphite on panel, 18 x 24 in (45.7 x 61 cm)",/artwork/go-go-boy,143,12/22/10 20:05,Yes,http://www.enaswansea.com/sites/default/files/artwork/129/129gogodancer150.jpg,http://www.enaswansea.com/sites/default/files/imagecache/tiny_thumbnail/artwork/129/129gogodancer150.jpg
138,goat,"oil on board, approx. 40 x 32 inches | 102 x 81 cm",7,2011,/artwork/goat,,/artwork/goat,165,10/17/11 15:37,Yes,http://www.enaswansea.com/sites/default/files/artwork/138/138goatadjmoreforwebsite.jpg,http://www.enaswansea.com/sites/default/files/imagecache/tiny_thumbnail/artwork/138/138goatadjmoreforwebsite.jpg
141,backlit waves,18 x 24 in | 46 x 61 cm,7,2012,/artwork/backlit-waves,,/artwork/backlit-waves,171,3/8/12 9:47,Yes,http://www.enaswansea.com/sites/default/files/artwork/141/141backlitwaves.png,http://www.enaswansea.com/sites/default/files/imagecache/tiny_thumbnail/artwork/141/141backlitwaves.png
