artwork_reference_number,title,artwork_description,artwork_sort_order,artwork_year,drupal_url,body_text,link,drupal_nid,drupal_post_date,published,artwork_url_original,artwork_url_thumbnail
79,some people,76 x 114 in (193.04 x 289.56 cm),12,2006,/artwork/some-people,"oil on graphite on linen, 76 x 114 in (193.04 x 289.56 cm)",/artwork/some-people,66,9/24/10 20:41,Yes,http://www.enaswansea.com/sites/default/files/artwork/79/81somepeople150.jpg,http://www.enaswansea.com/sites/default/files/imagecache/tiny_thumbnail/artwork/79/81somepeople150.jpg
159,14th St pile field,18 x 24 in | 46 x 61 cm,12,2013,/artwork/14th-st-pile-field-1,,/artwork/14th-st-pile-field-1,189,5/16/13 13:16,Yes,http://www.enaswansea.com/sites/default/files/artwork/159/15914thstreetpilefieldforwebsite.jpg,http://www.enaswansea.com/sites/default/files/imagecache/tiny_thumbnail/artwork/159/15914thstreetpilefieldforwebsite.jpg
178,Kat,28 x 54 in | 71 x 137 cm,12,2014,/artwork/kat,,/artwork/kat,211,9/2/14 15:38,Yes,http://www.enaswansea.com/sites/default/files/artwork/178/178katforwebsite.png,http://www.enaswansea.com/sites/default/files/imagecache/tiny_thumbnail/artwork/178/178katforwebsite.png
33,airplane wing,48 x 72 in (122 x 183 cm),13,2004,/artwork/airplane-wing,"oil on graphite on linen, 48 x 72 in (122 x 183 cm)",/artwork/airplane-wing,112,9/24/10 20:41,Yes,http://www.enaswansea.com/sites/default/files/artwork/33/34airplanewing150.jpg,http://www.enaswansea.com/sites/default/files/imagecache/tiny_thumbnail/artwork/33/34airplanewing150.jpg
63,big wet head,96 x 108 in (234.8 x 274.3 cm),13,2005,/artwork/big-wet-head,"oil on graphite on linen, 96 x 108 in (234.8 x 274.3 cm)",/artwork/big-wet-head,82,9/24/10 20:41,Yes,http://www.enaswansea.com/sites/default/files/artwork/63/63bigwethead.jpg,http://www.enaswansea.com/sites/default/files/imagecache/tiny_thumbnail/artwork/63/63bigwethead.jpg
74,cop on patrol,76 x 118 in (193 x 300 cm),13,2006,/artwork/cop-on-patrol,"oil on graphite on linen, 76 x 118 in (193 x 300 cm)",/artwork/cop-on-patrol,71,9/24/10 20:41,Yes,http://www.enaswansea.com/sites/default/files/artwork/74/76coponpatrol.jpg,http://www.enaswansea.com/sites/default/files/imagecache/tiny_thumbnail/artwork/74/76coponpatrol.jpg
158,14th St pile field,18 x 24 in | 46 x 61 cm,13,2013,/artwork/14th-st-pile-field-0,,/artwork/14th-st-pile-field-0,188,5/16/13 13:14,Yes,http://www.enaswansea.com/sites/default/files/artwork/158/15814thstreetpilefield02forwebsite.jpg,http://www.enaswansea.com/sites/default/files/imagecache/tiny_thumbnail/artwork/158/15814thstreetpilefield02forwebsite.jpg
178,"""sofa""","large version, 2 artist proofs, exhibition view",13,2014,/artwork/sofa,,/artwork/sofa,209,1/28/14 19:38,Yes,http://www.enaswansea.com/sites/default/files/artwork/178/177sofaview1forwebsite.png,http://www.enaswansea.com/sites/default/files/imagecache/tiny_thumbnail/artwork/178/177sofaview1forwebsite.png
26,lie down I think I want you,60 x 96 in (152.4 x 243.8 cm),14,2004,/artwork/lie-down-i-think-i-want-you,"pencil on paper, 60 x 96 in (152.4 x 243.8 cm)",/artwork/lie-down-i-think-i-want-you,119,9/24/10 20:41,Yes,http://www.enaswansea.com/sites/default/files/artwork/26/27liedownithinkiwantyou150.jpg,http://www.enaswansea.com/sites/default/files/imagecache/tiny_thumbnail/artwork/26/27liedownithinkiwantyou150.jpg
69,mysterious problem,94 x 136 in (238.8 x 345.4 cm),14,2005,/artwork/mysterious-problem,"oil on graphite on linen, 94 x 136 in (238.8 x 345.4 cm)",/artwork/mysterious-problem,76,9/24/10 20:41,Yes,http://www.enaswansea.com/sites/default/files/artwork/69/69mysteriousproblem.jpg,http://www.enaswansea.com/sites/default/files/imagecache/tiny_thumbnail/artwork/69/69mysteriousproblem.jpg
75,pouring water into water,92 x 76 in (234 x 193 cm),14,2006,/artwork/pouring-water-into-water,"oil on graphite on linen, 92 x 76 in (234 x 193 cm)",/artwork/pouring-water-into-water,70,9/24/10 20:41,Yes,http://www.enaswansea.com/sites/default/files/artwork/75/77pouringwaterintowater150.jpg,http://www.enaswansea.com/sites/default/files/imagecache/tiny_thumbnail/artwork/75/77pouringwaterintowater150.jpg
52,blind,60 x 84 in (152.4 x 213.36 cm),15,2004,/artwork/blind,"oil on graphite on linen, 60 x 84 in (152.4 x 213.36 cm)",/artwork/blind,93,9/24/10 20:41,Yes,http://www.enaswansea.com/sites/default/files/artwork/52/53blind150.jpg,http://www.enaswansea.com/sites/default/files/imagecache/tiny_thumbnail/artwork/52/53blind150.jpg
57,devil on the road 2005,72 x 96 in (182.9 x 243.8 cm),15,2005,/artwork/devil-on-the-road-2005,"oil on graphite on linen, 72 x 96 in (182.9 x 243.8 cm)",/artwork/devil-on-the-road-2005,88,9/24/10 20:41,Yes,http://www.enaswansea.com/sites/default/files/artwork/57/57devilontheroad2005.jpg,http://www.enaswansea.com/sites/default/files/imagecache/tiny_thumbnail/artwork/57/57devilontheroad2005.jpg
73,self love,48 x 60 in (121.92 x 152.4 cm),15,2006,/artwork/self-love,"oil on graphite on linen, 48 x 60 in (121.92 x 152.4 cm)",/artwork/self-love,72,9/24/10 20:41,Yes,http://www.enaswansea.com/sites/default/files/artwork/73/75selflove150.jpg,http://www.enaswansea.com/sites/default/files/imagecache/tiny_thumbnail/artwork/73/75selflove150.jpg
41,dinner party,90 x 180 in (228.6 x 457.2 cm),16,2004,/artwork/dinner-party,"oil on graphite on linen, 90 x 180 in (228.6 x 457.2 cm)",/artwork/dinner-party,104,9/24/10 20:41,Yes,http://www.enaswansea.com/sites/default/files/artwork/41/42dinnerparty150.jpg,http://www.enaswansea.com/sites/default/files/imagecache/tiny_thumbnail/artwork/41/42dinnerparty150.jpg
60,fifth avenue,80 x 220 in (203.2 x 558.8 cm) - diptych,16,2005,/artwork/fifth-avenue,"oil on graphite on linen, 80 x 220 in (203.2 x 558.8 cm) - diptych",/artwork/fifth-avenue,85,9/24/10 20:41,Yes,http://www.enaswansea.com/sites/default/files/artwork/60/605thavenue.jpg,http://www.enaswansea.com/sites/default/files/imagecache/tiny_thumbnail/artwork/60/605thavenue.jpg
42,fiancelles,60 x 84 in (152.4 x 213.3 cm),17,2004,/artwork/fiancelles,"oil on graphite on linen, 60 x 84 in (152.4 x 213.3 cm)",/artwork/fiancelles,103,9/24/10 20:41,Yes,http://www.enaswansea.com/sites/default/files/artwork/42/43fiancelles150.jpg,http://www.enaswansea.com/sites/default/files/imagecache/tiny_thumbnail/artwork/42/43fiancelles150.jpg
43,klemens,60 x 36 in (152.4 x 91.4 cm),18,2004,/artwork/klemens,"oil on graphite on linen, 60 x 36 in (152.4 x 91.4 cm)",/artwork/klemens,102,9/24/10 20:41,Yes,http://www.enaswansea.com/sites/default/files/artwork/43/43klemens.jpg,http://www.enaswansea.com/sites/default/files/imagecache/tiny_thumbnail/artwork/43/43klemens.jpg
44,small open drawbridge accident,60 x 36 in (152.4 x 91.4 cm),19,2004,/artwork/small-open-drawbridge-accident,"oil on graphite on linen, 60 x 36 in (152.4 x 91.4 cm)",/artwork/small-open-drawbridge-accident,101,9/24/10 20:41,Yes,http://www.enaswansea.com/sites/default/files/artwork/44/44smallopendrawbridgeaccident.jpg,http://www.enaswansea.com/sites/default/files/imagecache/tiny_thumbnail/artwork/44/44smallopendrawbridgeaccident.jpg
37,devil on the road,56 x 56 in (142.24 x 142.24 cm),20,2004,/artwork/devil-on-the-road,"oil on graphite on linen, 56 x 56 in (142.24 x 142.24 cm)",/artwork/devil-on-the-road,108,9/24/10 20:41,Yes,http://www.enaswansea.com/sites/default/files/artwork/37/37devilontheroad.jpg,http://www.enaswansea.com/sites/default/files/imagecache/tiny_thumbnail/artwork/37/37devilontheroad.jpg
23,not quite decided,60 x 36 in (152 x 91.5 cm),21,2004,/artwork/not-quite-decided,"oil on graphite on linen, 60 x 36 in (152 x 91.5 cm)",/artwork/not-quite-decided,122,9/24/10 20:55,Yes,http://www.enaswansea.com/sites/default/files/artwork/23/23notquitedecided.jpg,http://www.enaswansea.com/sites/default/files/imagecache/tiny_thumbnail/artwork/23/23notquitedecided.jpg
